club_id,club_code,name,domestic_competition_id,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name
969,montpellier-hsc,Montpellier Hérault Sport Club,FR1,25,25.7,12,48.0,8,Stade de la Mosson,32939,+€28.60m,
1082,losc-lille,Lille Olympique Sporting Club Lille Métropole,FR1,25,25.4,18,72.0,7,Decathlon Arena-Stade Pierre-Mauroy,50186,+€3.65m,
1160,nimes-olympique,Nîmes Olympique,FR1,26,25.4,12,46.2,3,Stade des Antonins,8033,+€2.50m,
3911,stade-brest-29,Stade brestois 29,FR1,24,26.0,6,25.0,3,Stade Francis-Le Blé,15220,+€5.10m,
595,sc-bastia,SC Bastia,FR1,25,27.6,8,32.0,6,Stade Armand-Cesari,16480,+€480k,
1158,fc-lorient,Football Club Lorient-Bretagne Sud,FR1,28,24.5,16,57.1,11,Stade du Moustoir,19010,+€30.30m,
273,fc-stade-rennes,Stade Rennais Football Club,FR1,24,24.4,11,45.8,8,Roazhon Park,29778,+€62.10m,
995,fc-nantes,Football Club de Nantes,FR1,25,26.5,13,52.0,9,Stade de la Beaujoire,37463,+€10.85m,
2969,dijon-fco,Dijon FCO,FR1,29,25.8,14,48.3,4,Stade Gaston-Gérard,16098,+€1.50m,
40,fc-girondins-bordeaux,FC Girondins Bordeaux,FR1,26,22.7,13,50.0,6,Matmut Atlantique,42115,+€12.70m,
1147,ac-ajaccio,AC Ajaccio,FR1,24,27.5,11,45.8,6,Stade François-Coty,10446,+-0,
1159,as-nancy-lorraine,AS Nancy-Lorraine,FR1,27,25.7,5,18.5,0,Stade Marcel-Picot,20087,+-0,
1421,stade-reims,Stade de Reims,FR1,24,25.3,17,70.8,10,Stade Auguste-Delaune,21684,+€22.05m,
1423,fc-valenciennes,Valenciennes FC,FR1,30,23.6,15,50.0,5,Stade du Hainaut,25000,+€2.52m,
162,as-monaco,Association sportive de Monaco Football Club,FR1,24,24.4,24,100.0,15,Stade Louis-II,17000,€-22.60m,
750,fc-sochaux-montbeliard,FC Sochaux-Montbéliard,FR1,29,23.0,9,31.0,1,Stade Auguste-Bonal,20005,+€6.30m,
1041,olympique-lyon,Olympique Lyonnais,FR1,28,25.5,19,67.9,9,Groupama Stadium,59186,+€31.99m,
1162,sm-caen,SM Caen,FR1,27,25.7,12,44.4,4,Stade Michel-d'Ornano,20500,+€3.05m,
3558,gfc-ajaccio,GFC Ajaccio,FR1,5,26.8,1,20.0,1,Stade Ange-Casanova,4050,+-0,
667,rc-strassburg-alsace,Racing Club de Strasbourg Alsace,FR1,24,24.3,13,54.2,6,Stade de la Meinau,26109,€-16.20m,
14171,thonon-evian-grand-geneve-fc,Thonon Évian Grand Genève FC,FR1,27,27.4,6,22.2,1,Stade Camille Fournier,2500,+-0,
244,olympique-marseille,Olympique de Marseille,FR1,26,26.1,21,80.8,15,Orange Vélodrome,67394,€-30.20m,
583,fc-paris-saint-germain,Paris Saint-Germain Football Club,FR1,30,25.2,17,56.7,19,Parc des Princes,49691,€-247.00m,
855,ea-guingamp,EA Guingamp,FR1,27,25.4,7,25.9,1,Stade du Roudourou,18120,+€3.70m,
618,as-saint-etienne,AS Saint-Étienne,FR1,29,25.1,8,27.6,3,Stade Geoffroy-Guichard,42000,+€12.85m,
1095,es-troyes-ac,ESTAC Troyes,FR1,29,23.1,16,57.1,5,Stade de l'Aube,21877,+-0,
1420,sco-angers,Angers SCO,FR1,27,24.2,12,44.4,5,Stade Raymond Kopa,19350,+€3.50m,
3524,clermont-foot-63,Clermont Foot 63,FR1,25,26.5,13,52.0,6,Stade Gabriel-Montpied,13000,+€8.90m,
738,ac-le-havre,Le Havre Athletic Club,FR1,24,26.0,14,58.3,5,Stade Océane,25178,€-2.90m,
1416,amiens-sc,Amiens SC,FR1,24,24.1,10,41.7,7,Stade Crédit Agricole la Licorne,12999,+€700k,
826,rc-lens,Racing Club de Lens,FR1,27,26.3,14,51.9,12,Stade Bollaert-Delelis,38223,+€3.64m,
415,fc-toulouse,Toulouse Football Club,FR1,27,23.5,21,77.8,11,Stadium Municipal,33150,€-4.05m,
417,ogc-nizza,Olympique Gymnaste Club Nice Côte d'Azur,FR1,28,24.2,12,42.9,9,Allianz Riviera,36178,€-33.69m,
290,aj-auxerre,AJ Auxerre,FR1,26,24.3,15,55.6,6,Stade de l'Abbé-Deschamps,18541,+-0,
347,fc-metz,Football Club de Metz,FR1,28,25.1,21,75.0,9,Stade Saint-Symphorien,28786,+€23.70m,
