game_id,date,home_club_id,away_club_id,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,home_club_name,away_club_name,competition_type
4094596,2023-08-26,583,826,Luis Enrique,Franck Haise,Parc des Princes,47000.0,François Letexier,Paris Saint-Germain Football Club,Racing Club de Lens,domestic_league
4094622,2023-09-16,826,347,Franck Haise,László Bölöni,Stade Bollaert-Delelis,37988.0,Stéphanie Frappart,Racing Club de Lens,Football Club de Metz,domestic_league
4094630,2023-09-24,969,273,Michel Der Zakarian,Bruno Génésio,Stade de la Mosson,15430.0,Stéphanie Frappart,Montpellier Hérault Sport Club,Stade Rennais Football Club,domestic_league
4094647,2023-10-07,347,417,László Bölöni,Francesco Farioli,Stade Saint-Symphorien,23160.0,Jérôme Brisard,Football Club de Metz,Olympique Gymnaste Club Nice Côte d'Azur,domestic_league
4094696,2023-12-03,244,273,Gennaro Gattuso,Julien Stéphan,Orange Vélodrome,54162.0,Willy Delajod,Olympique de Marseille,Stade Rennais Football Club,domestic_league
4094700,2023-12-02,826,1041,Franck Haise,Pierre Sage,Stade Bollaert-Delelis,38130.0,Clément Turpin,Racing Club de Lens,Olympique Lyonnais,domestic_league
4094718,2023-12-16,826,1421,Franck Haise,Will Still,Stade Bollaert-Delelis,38055.0,François Letexier,Racing Club de Lens,Stade de Reims,domestic_league
4094750,2024-02-03,273,969,Julien Stéphan,Michel Der Zakarian,Roazhon Park,24898.0,Mathieu Vernice,Stade Rennais Football Club,Montpellier Hérault Sport Club,domestic_league
4094787,2024-03-01,162,583,Adi Hütter,Luis Enrique,Stade Louis-II,14700.0,Ruddy Buquet,Association sportive de Monaco Football Club,Paris Saint-Germain Football Club,domestic_league
4094599,2023-08-26,244,3911,Marcelino,Éric Roy,Orange Vélodrome,63592.0,Jérémy Stinat,Olympique de Marseille,Stade brestois 29,domestic_league
4094632,2023-09-29,667,826,Patrick Vieira,Franck Haise,Stade de la Meinau,26001.0,Jérôme Brisard,Racing Club de Strasbourg Alsace,Racing Club de Lens,domestic_league
4094704,2023-12-09,583,995,Luis Enrique,Jocelyn Gourvennec,Parc des Princes,47926.0,Jérôme Brisard,Paris Saint-Germain Football Club,Football Club de Nantes,domestic_league
4094817,2024-03-31,417,995,Francesco Farioli,Antoine Kombouaré,Allianz Riviera,21142.0,Bastien Dechepy,Olympique Gymnaste Club Nice Côte d'Azur,Football Club de Nantes,domestic_league
4094586,2023-08-13,3911,826,Éric Roy,Franck Haise,Stade Francis-Le Blé,15085.0,Jérémie Pignard,Stade brestois 29,Racing Club de Lens,domestic_league
4094578,2023-08-12,583,1158,Luis Enrique,Régis Le Bris,Parc des Princes,47579.0,Bastien Dechepy,Paris Saint-Germain Football Club,Football Club Lorient-Bretagne Sud,domestic_league
4094623,2023-09-24,583,244,Luis Enrique,Jacques Abardonado,Parc des Princes,47000.0,Willy Delajod,Paris Saint-Germain Football Club,Olympique de Marseille,domestic_league
4094648,2023-11-29,969,3524,Michel Der Zakarian,Pascal Gastien,Stade de la Mosson,,Mathieu Vernice,Montpellier Hérault Sport Club,Clermont Foot 63,domestic_league
4094692,2023-11-25,3524,826,Pascal Gastien,Franck Haise,Stade Gabriel-Montpied,10455.0,Benoît Millot,Clermont Foot 63,Racing Club de Lens,domestic_league
4094734,2024-01-14,1082,1158,Paulo Fonseca,Régis Le Bris,Decathlon Arena-Stade Pierre-Mauroy,35204.0,Pierre Gaillouste,Lille Olympique Sporting Club Lille Métropole,Football Club Lorient-Bretagne Sud,domestic_league
4094744,2024-01-26,1041,273,Pierre Sage,Julien Stéphan,Groupama Stadium,40516.0,Thomas Léonard,Olympique Lyonnais,Stade Rennais Football Club,domestic_league
4094774,2024-02-18,969,347,Michel Der Zakarian,László Bölöni,Stade de la Mosson,12532.0,Jérémy Stinat,Montpellier Hérault Sport Club,Football Club de Metz,domestic_league
4094815,2024-03-29,1082,826,Paulo Fonseca,Franck Haise,Decathlon Arena-Stade Pierre-Mauroy,48233.0,Willy Delajod,Lille Olympique Sporting Club Lille Métropole,Racing Club de Lens,domestic_league
4094752,2024-02-04,1082,3524,Paulo Fonseca,Pascal Gastien,Decathlon Arena-Stade Pierre-Mauroy,38597.0,Bastien Dechepy,Lille Olympique Sporting Club Lille Métropole,Clermont Foot 63,domestic_league
4094760,2024-02-09,244,347,Gennaro Gattuso,László Bölöni,Orange Vélodrome,62686.0,Hakim Ben El Hadj,Olympique de Marseille,Football Club de Metz,domestic_league
4094663,2023-10-28,1421,1158,Will Still,Régis Le Bris,Stade Auguste-Delaune,14033.0,Benoît Bastien,Stade de Reims,Football Club Lorient-Bretagne Sud,domestic_league
4094716,2023-12-15,162,1041,Adi Hütter,Pierre Sage,Stade Louis-II,5324.0,Ruddy Buquet,Association sportive de Monaco Football Club,Olympique Lyonnais,domestic_league
4094585,2023-08-13,969,738,Michel Der Zakarian,Luka Elsner,Stade de la Mosson,15852.0,Clément Turpin,Montpellier Hérault Sport Club,Le Havre Athletic Club,domestic_league
4094609,2023-09-03,417,667,Francesco Farioli,Patrick Vieira,Allianz Riviera,20215.0,Jérémy Stinat,Olympique Gymnaste Club Nice Côte d'Azur,Racing Club de Strasbourg Alsace,domestic_league
4094673,2023-11-05,162,3911,Adi Hütter,Éric Roy,Stade Louis-II,9244.0,Eric Wattellier,Association sportive de Monaco Football Club,Stade brestois 29,domestic_league
4094818,2024-03-31,3524,415,Pascal Gastien,Carles Martínez,Stade Gabriel-Montpied,10499.0,Pierre Gaillouste,Clermont Foot 63,Toulouse Football Club,domestic_league
4094792,2024-03-03,969,667,Michel Der Zakarian,Patrick Vieira,Stade de la Mosson,11635.0,Stéphanie Frappart,Montpellier Hérault Sport Club,Racing Club de Strasbourg Alsace,domestic_league
4094587,2023-08-19,415,583,Carles Martínez,Luis Enrique,Stadium Municipal,27332.0,Thomas Léonard,Toulouse Football Club,Paris Saint-Germain Football Club,domestic_league
4094580,2023-08-13,273,347,Bruno Génésio,László Bölöni,Roazhon Park,26065.0,Jérémy Stinat,Stade Rennais Football Club,Football Club de Metz,domestic_league
4094671,2023-11-04,244,1082,Gennaro Gattuso,Paulo Fonseca,Orange Vélodrome,63674.0,Stéphanie Frappart,Olympique de Marseille,Lille Olympique Sporting Club Lille Métropole,domestic_league
4094675,2023-11-05,417,273,Francesco Farioli,Bruno Génésio,Allianz Riviera,22430.0,Clément Turpin,Olympique Gymnaste Club Nice Côte d'Azur,Stade Rennais Football Club,domestic_league
4094772,2024-02-18,1421,826,Will Still,Franck Haise,Stade Auguste-Delaune,20116.0,Benoît Millot,Stade de Reims,Racing Club de Lens,domestic_league
4094803,2024-03-17,273,244,Julien Stéphan,Jean-Louis Gasset,Roazhon Park,28610.0,Eric Wattellier,Stade Rennais Football Club,Olympique de Marseille,domestic_league
4094823,2024-04-07,162,273,Adi Hütter,Julien Stéphan,Stade Louis-II,6634.0,Stéphanie Frappart,Association sportive de Monaco Football Club,Stade Rennais Football Club,domestic_league
4094611,2023-09-03,738,1158,Luka Elsner,Régis Le Bris,Stade Océane,18707.0,Romain Lissorgue,Le Havre Athletic Club,Football Club Lorient-Bretagne Sud,domestic_league
4094812,2024-03-31,667,273,Patrick Vieira,Julien Stéphan,Stade de la Meinau,25407.0,Hakim Ben El Hadj,Racing Club de Strasbourg Alsace,Stade Rennais Football Club,domestic_league
4094749,2024-02-02,667,583,Patrick Vieira,Luis Enrique,Stade de la Meinau,25834.0,Ruddy Buquet,Racing Club de Strasbourg Alsace,Paris Saint-Germain Football Club,domestic_league
4094837,2024-04-14,738,995,Luka Elsner,Antoine Kombouaré,Stade Océane,23021.0,Hakim Ben El Hadj,Le Havre Athletic Club,Football Club de Nantes,domestic_league
4094614,2023-09-15,583,417,Luis Enrique,Francesco Farioli,Parc des Princes,47000.0,Clément Turpin,Paris Saint-Germain Football Club,Olympique Gymnaste Club Nice Côte d'Azur,domestic_league
4094635,2023-10-01,1158,969,Régis Le Bris,Michel Der Zakarian,Stade du Moustoir,13492.0,Jérémy Stinat,Football Club Lorient-Bretagne Sud,Montpellier Hérault Sport Club,domestic_league
4094689,2023-11-26,1158,347,Régis Le Bris,László Bölöni,Stade du Moustoir,14469.0,Jérémie Pignard,Football Club Lorient-Bretagne Sud,Football Club de Metz,domestic_league
4094701,2023-12-02,995,417,Jocelyn Gourvennec,Francesco Farioli,Stade de la Beaujoire,26560.0,Ruddy Buquet,Football Club de Nantes,Olympique Gymnaste Club Nice Côte d'Azur,domestic_league
4094798,2024-03-10,1082,273,Paulo Fonseca,Julien Stéphan,Decathlon Arena-Stade Pierre-Mauroy,40383.0,Benoît Millot,Lille Olympique Sporting Club Lille Métropole,Stade Rennais Football Club,domestic_league
4094810,2024-03-17,969,583,Michel Der Zakarian,Luis Enrique,Stade de la Mosson,19202.0,Florent Batta,Montpellier Hérault Sport Club,Paris Saint-Germain Football Club,domestic_league
4094693,2023-11-26,995,738,Pierre Aristouy,Luka Elsner,Stade de la Beaujoire,29346.0,Miguel Nogueira,Football Club de Nantes,Le Havre Athletic Club,domestic_league
4094619,2023-09-17,1041,738,Jean-François Vulliez,Luka Elsner,Groupama Stadium,35507.0,Benoît Bastien,Olympique Lyonnais,Le Havre Athletic Club,domestic_league
4094687,2023-11-25,667,244,Patrick Vieira,Gennaro Gattuso,Stade de la Meinau,25443.0,Jérôme Brisard,Racing Club de Strasbourg Alsace,Olympique de Marseille,domestic_league
4094628,2023-09-24,738,3524,Luka Elsner,Pascal Gastien,Stade Océane,18071.0,Mathieu Vernice,Le Havre Athletic Club,Clermont Foot 63,domestic_league
4094641,2023-10-06,667,995,Patrick Vieira,Pierre Aristouy,Stade de la Meinau,25274.0,Stéphanie Frappart,Racing Club de Strasbourg Alsace,Football Club de Nantes,domestic_league
4094612,2023-09-03,347,1421,László Bölöni,Will Still,Stade Saint-Symphorien,24272.0,Mathieu Vernice,Football Club de Metz,Stade de Reims,domestic_league
