,game_id,season,round,date,home_club_id,away_club_id,home_club_goals,away_club_goals,home_club_position,away_club_position,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,home_club_formation,away_club_formation,home_club_name,away_club_name,aggregate,competition_type,results
12,2330874,2013,8. Matchday,2013-09-28,618,595,2,2,6.0,8.0,Christophe Galtier,Frédéric Hantz,Stade Geoffroy-Guichard,31952.0,Antony Gautier,4-3-3 Attacking,4-2-3-1,AS Saint-Étienne,SC Bastia,2:2,domestic_league,0
13,2330880,2013,10. Matchday,2013-10-19,14171,855,1,2,16.0,10.0,Pascal Dupraz,Jocelyn Gourvennec,Parc des Sports d’Annecy,8620.0,Philippe Kalt,4-4-2 double 6,4-4-2 double 6,Thonon Évian Grand Genève FC,EA Guingamp,1:2,domestic_league,-1
14,2330916,2013,15. Matchday,2013-11-30,1423,1082,0,1,18.0,2.0,Ariel Jacobs,René Girard,Stade du Hainaut,14874.0,Bartolomeu Varela,4-4-2 double 6,4-3-1-2,Valenciennes FC,Lille Olympique Sporting Club Lille Métropole,0:1,domestic_league,-1
15,2331018,2013,21. Matchday,2014-01-18,273,14171,0,0,15.0,17.0,Philippe Montanier,Pascal Dupraz,Roazhon Park,13391.0,Benoît Millot,4-3-3 Attacking,4-2-3-1,Stade Rennais Football Club,Thonon Évian Grand Genève FC,0:0,domestic_league,0
16,2331034,2013,24. Matchday,2014-02-08,1147,273,3,1,20.0,15.0,Christian Bracconi,Philippe Montanier,Stade François-Coty,5981.0,Benoît Bastien,4-1-4-1,4-3-3 Defending,AC Ajaccio,Stade Rennais Football Club,3:1,domestic_league,1
17,2331094,2013,28. Matchday,2014-03-07,244,417,0,1,6.0,12.0,José Anigo,Claude Puel,Orange Vélodrome,36083.0,Laurent Duhamel,4-3-1-2,4-2-3-1,Olympique de Marseille,Olympique Gymnaste Club Nice Côte d'Azur,0:1,domestic_league,-1
18,2331101,2013,28. Matchday,2014-03-09,40,1041,1,2,8.0,5.0,Francis Gillot,Rémi Garde,Matmut Atlantique,17660.0,Antony Gautier,4-3-3 Defending,5-3-2,FC Girondins Bordeaux,Olympique Lyonnais,1:2,domestic_league,-1
19,2331107,2013,31. Matchday,2014-03-29,750,244,1,1,19.0,6.0,Hervé Renard,José Anigo,Stade Auguste-Bonal,16328.0,Bartolomeu Varela,4-4-2 double 6,4-3-3 Attacking,FC Sochaux-Montbéliard,Olympique de Marseille,1:1,domestic_league,0
20,2331110,2013,31. Matchday,2014-03-28,417,583,0,1,11.0,1.0,Claude Puel,Laurent Blanc,Allianz Riviera,35030.0,Said Ennjimi,4-2-3-1,4-3-3 Attacking,Olympique Gymnaste Club Nice Côte d'Azur,Paris Saint-Germain Football Club,0:1,domestic_league,-1
21,2331123,2013,34. Matchday,2014-04-20,1423,995,2,6,19.0,11.0,Ariel Jacobs,Michel Der Zakarian,Stade du Hainaut,13972.0,Alexandre Castro,4-3-3 Attacking,4-3-3 Defending,Valenciennes FC,Football Club de Nantes,2:6,domestic_league,-1
22,2331135,2013,32. Matchday,2014-04-06,1423,1041,1,2,18.0,5.0,Ariel Jacobs,Rémi Garde,Stade du Hainaut,13922.0,Nicolas Rainville,3-5-2 flat,4-3-1-2,Valenciennes FC,Olympique Lyonnais,1:2,domestic_league,-1
23,2331162,2013,36. Matchday,2014-05-07,162,855,1,1,2.0,16.0,Claudio Ranieri,Jocelyn Gourvennec,Stade Louis-II,7683.0,Stéphane Lannoy,4-3-1-2,4-4-2 double 6,Association sportive de Monaco Football Club,EA Guingamp,1:1,domestic_league,0
189,2482239,2014,14. Matchday,2014-11-23,244,40,3,1,1.0,5.0,Marcelo Bielsa,Willy Sagnol,Orange Vélodrome,54323.0,Antony Gautier,4-2-3-1,5-4-1,Olympique de Marseille,FC Girondins Bordeaux,3:1,domestic_league,1
190,2482243,2014,14. Matchday,2014-11-23,995,618,0,0,4.0,6.0,Michel Der Zakarian,Christophe Galtier,Stade de la Beaujoire,32324.0,Said Ennjimi,4-4-2 double 6,4-2-3-1,Football Club de Nantes,AS Saint-Étienne,0:0,domestic_league,0
191,2482255,2014,16. Matchday,2014-12-03,595,14171,1,2,20.0,14.0,Ghislain Printant,Pascal Dupraz,Stade Armand-Cesari,10902.0,Bartolomeu Varela,4-2-3-1,4-4-2,SC Bastia,Thonon Évian Grand Genève FC,1:2,domestic_league,-1
192,2482268,2014,17. Matchday,2014-12-07,826,1082,1,1,18.0,12.0,Antoine Kombouaré,René Girard,Stade de France,40112.0,Ruddy Buquet,4-4-2 double 6,4-3-1-2,Racing Club de Lens,Lille Olympique Sporting Club Lille Métropole,1:1,domestic_league,0
193,2482337,2014,24. Matchday,2015-02-07,969,1082,1,2,7.0,11.0,Rolland Courbis,René Girard,Stade de la Mosson,10635.0,Sébastien Moreira,4-2-3-1,4-3-1-2,Montpellier Hérault Sport Club,Lille Olympique Sporting Club Lille Métropole,1:2,domestic_league,-1
194,2482365,2014,27. Matchday,2015-02-28,1158,595,2,0,17.0,14.0,Sylvain Ripoll,Ghislain Printant,Stade du Moustoir,13619.0,Wilfried Bien,4-4-2,4-2-3-1,Football Club Lorient-Bretagne Sud,SC Bastia,2:0,domestic_league,1
195,2482373,2014,27. Matchday,2015-02-28,826,273,0,1,19.0,10.0,Antoine Kombouaré,Philippe Montanier,Stade Crédit Agricole la Licorne,7549.0,Benoît Millot,4-4-2,4-1-4-1,Racing Club de Lens,Stade Rennais Football Club,0:1,domestic_league,-1
196,2482431,2014,33. Matchday,2015-04-18,595,1421,1,2,16.0,14.0,Ghislain Printant,Olivier Guégan,Stade Armand-Cesari,15452.0,Benoît Millot,4-2-3-1,4-1-4-1,SC Bastia,Stade de Reims,1:2,domestic_league,-1
299,2586769,2015,1. Matchday,2015-08-08,995,855,1,0,7.0,18.0,Michel Der Zakarian,Jocelyn Gourvennec,Stade de la Beaujoire,27248.0,Benoît Bastien,4-3-1-2,4-2-3-1,Football Club de Nantes,EA Guingamp,1:0,domestic_league,1
300,2586780,2015,2. Matchday,2015-08-15,855,1041,0,1,19.0,8.0,Jocelyn Gourvennec,Hubert Fournier,Stade du Roudourou,17728.0,Antony Gautier,4-4-2 double 6,4-3-1-2,EA Guingamp,Olympique Lyonnais,0:1,domestic_league,-1
301,2586789,2015,3. Matchday,2015-08-22,995,1421,1,0,4.0,7.0,Michel Der Zakarian,Olivier Guégan,Stade de la Beaujoire,23854.0,Hakim Ben El Hadj,4-2-3-1,4-3-3 Attacking,Football Club de Nantes,Stade de Reims,1:0,domestic_league,1
302,2586811,2015,5. Matchday,2015-09-12,969,618,1,2,19.0,4.0,Rolland Courbis,Christophe Galtier,Stade de la Mosson,10734.0,Lionel Jaffredo,4-2-3-1,4-2-3-1,Montpellier Hérault Sport Club,AS Saint-Étienne,1:2,domestic_league,-1
303,2586899,2015,8. Matchday,2015-09-26,273,1095,1,1,3.0,19.0,Philippe Montanier,Jean-Marc Furlan,Roazhon Park,20170.0,Johan Hamel,5-4-1,4-2-3-1,Stade Rennais Football Club,ESTAC Troyes,1:1,domestic_league,0
304,2586992,2015,13. Matchday,2015-11-07,1158,1095,4,1,7.0,20.0,Sylvain Ripoll,Jean-Marc Furlan,Stade du Moustoir,9338.0,Hakim Ben El Hadj,4-4-2 double 6,4-2-3-1,Football Club Lorient-Bretagne Sud,ESTAC Troyes,4:1,domestic_league,1
305,2586999,2015,13. Matchday,2015-11-07,1421,3558,1,2,14.0,18.0,Olivier Guégan,Thierry Laurey,Stade Auguste-Delaune,11393.0,Said Ennjimi,4-2-3-1,4-3-1-2,Stade de Reims,GFC Ajaccio,1:2,domestic_league,-1
330,2600609,2015,16. Matchday,2015-12-01,1158,417,0,0,9.0,5.0,Sylvain Ripoll,Claude Puel,Stade du Moustoir,9218.0,Mikael Lesage,4-4-2,3-5-2,Football Club Lorient-Bretagne Sud,Olympique Gymnaste Club Nice Côte d'Azur,0:0,domestic_league,0
331,2600618,2015,17. Matchday,2015-12-05,1041,1420,0,2,5.0,2.0,Hubert Fournier,Stéphane Moulin,Stade de Gerland,36068.0,Lionel Jaffredo,4-3-1-2,4-1-4-1,Olympique Lyonnais,Angers SCO,0:2,domestic_league,-1
332,2600634,2015,19. Matchday,2015-12-20,618,1420,1,0,6.0,3.0,Christophe Galtier,Stéphane Moulin,Stade Geoffroy-Guichard,30985.0,Bartolomeu Varela,4-2-3-1,4-1-4-1,AS Saint-Étienne,Angers SCO,1:0,domestic_league,1
333,2600638,2015,19. Matchday,2015-12-19,1158,995,0,0,8.0,13.0,Sylvain Ripoll,Michel Der Zakarian,Stade du Moustoir,14711.0,Fredy Fautrel,4-4-2 double 6,4-2-3-1,Football Club Lorient-Bretagne Sud,Football Club de Nantes,0:0,domestic_league,0
354,2609665,2015,20. Matchday,2016-01-10,244,855,0,0,11.0,19.0,Michel,Jocelyn Gourvennec,Orange Vélodrome,38948.0,Fredy Fautrel,4-2-3-1,4-4-2 double 6,Olympique de Marseille,EA Guingamp,0:0,domestic_league,0
355,2609676,2015,21. Matchday,2016-01-15,417,1420,2,1,4.0,3.0,Claude Puel,Stéphane Moulin,Allianz Riviera,13600.0,Jérôme Miguelgorry,4-3-1-2,4-1-4-1,Olympique Gymnaste Club Nice Côte d'Azur,Angers SCO,2:1,domestic_league,1
356,2609730,2015,27. Matchday,2016-02-20,1420,969,2,3,9.0,15.0,Stéphane Moulin,Frédéric Hantz,Stade Raymond Kopa,11165.0,Sébastien Moreira,4-1-4-1,4-2-3-1,Angers SCO,Montpellier Hérault Sport Club,2:3,domestic_league,-1
357,2609758,2015,29. Matchday,2016-03-04,1162,162,2,2,6.0,2.0,Patrice Garande,Leonardo Jardim,Stade Michel-d'Ornano,17926.0,Clément Turpin,5-4-1,4-2-3-1,SM Caen,Association sportive de Monaco Football Club,2:2,domestic_league,0
358,2609764,2015,30. Matchday,2016-03-13,995,1420,2,0,6.0,12.0,Michel Der Zakarian,Stéphane Moulin,Stade de la Beaujoire,32611.0,Benoît Bastien,4-4-2 double 6,4-1-4-1,Football Club de Nantes,Angers SCO,2:0,domestic_league,1
359,2609825,2015,36. Matchday,2016-04-30,995,417,1,0,9.0,5.0,Michel Der Zakarian,Claude Puel,Stade de la Beaujoire,1442.0,Antony Gautier,4-4-1-1,4-3-1-2,Football Club de Nantes,Olympique Gymnaste Club Nice Côte d'Azur,1:0,domestic_league,1
360,2609846,2015,38. Matchday,2016-05-14,583,995,4,0,1.0,14.0,Laurent Blanc,Michel Der Zakarian,Parc des Princes,47844.0,Lionel Jaffredo,4-3-3 Attacking,4-2-3-1,Paris Saint-Germain Football Club,Football Club de Nantes,4:0,domestic_league,1
431,2701606,2016,2. Matchday,2016-08-20,1420,417,0,1,17.0,3.0,Stéphane Moulin,Lucien Favre,Stade Raymond Kopa,10142.0,Jérôme Miguelgorry,4-3-3 Attacking,4-1-4-1,Angers SCO,Olympique Gymnaste Club Nice Côte d'Azur,0:1,domestic_league,-1
432,2701616,2016,3. Matchday,2016-08-27,2969,1041,4,2,15.0,1.0,Olivier Dall'Oglio,Bruno Génésio,Stade Gaston-Gérard,10369.0,Johan Hamel,4-4-2,4-3-3 Attacking,Dijon FCO,Olympique Lyonnais,4:2,domestic_league,1
433,2701629,2016,4. Matchday,2016-09-10,855,969,1,1,5.0,13.0,Antoine Kombouaré,Frédéric Hantz,Stade du Roudourou,12630.0,Clément Turpin,4-4-2 double 6,4-2-3-1,EA Guingamp,Montpellier Hérault Sport Club,1:1,domestic_league,0
434,2701671,2016,9. Matchday,2016-10-16,618,2969,1,1,9.0,17.0,Christophe Galtier,Olivier Dall'Oglio,Stade Geoffroy-Guichard,25528.0,Karim Abed,4-3-3 Attacking,4-3-3 Attacking,AS Saint-Étienne,Dijon FCO,1:1,domestic_league,0
435,2702724,2016,10. Matchday,2016-10-22,995,273,1,2,14.0,6.0,René Girard,Christian Gourcuff,Stade de la Beaujoire,29015.0,Johan Hamel,4-4-2 double 6,4-4-2 double 6,Football Club de Nantes,Stade Rennais Football Club,1:2,domestic_league,-1
436,2702786,2016,15. Matchday,2016-11-30,595,40,1,1,18.0,5.0,François Ciccolini,Jocelyn Gourvennec,Stade Armand-Cesari,11421.0,Sébastien Desiage,5-3-2,4-3-1-2,SC Bastia,FC Girondins Bordeaux,1:1,domestic_league,0
455,2716694,2016,20. Matchday,2017-01-14,1159,595,1,0,12.0,19.0,Pablo Correa,François Ciccolini,Stade Marcel-Picot,15423.0,Karim Abed,4-3-3 Attacking,4-3-3 Attacking,AS Nancy-Lorraine,SC Bastia,1:0,domestic_league,1
503,2735622,2016,35. Matchday,2017-04-30,417,583,3,1,3.0,2.0,Lucien Favre,Unai Emery,Allianz Riviera,33190.0,Ruddy Buquet,4-2-3-1,4-3-3 Attacking,Olympique Gymnaste Club Nice Côte d'Azur,Paris Saint-Germain Football Club,3:1,domestic_league,1
575,2890515,2017,1. Matchday,2017-08-05,583,1416,2,0,5.0,17.0,Unai Emery,Christophe Pélissier,Parc des Princes,46898.0,Mikael Lesage,4-3-3 Attacking,5-3-2,Paris Saint-Germain Football Club,Amiens SC,2:0,domestic_league,1
600,2901022,2017,3. Matchday,2017-08-19,273,2969,2,2,17.0,18.0,Christian Gourcuff,Olivier Dall'Oglio,Roazhon Park,16888.0,Thomas Léonard,4-4-2 double 6,4-1-4-1,Stade Rennais Football Club,Dijon FCO,2:2,domestic_league,0
601,2901127,2017,6. Matchday,2017-09-17,583,1041,2,0,1.0,5.0,Unai Emery,Bruno Génésio,Parc des Princes,47191.0,Ruddy Buquet,4-2-3-1,4-2-3-1,Paris Saint-Germain Football Club,Olympique Lyonnais,2:0,domestic_league,1
602,2901143,2017,7. Matchday,2017-09-23,1041,2969,3,3,7.0,17.0,Bruno Génésio,Olivier Dall'Oglio,Groupama Stadium,33600.0,Antony Gautier,4-2-3-1,4-2-3-1,Olympique Lyonnais,Dijon FCO,3:3,domestic_league,0
603,2901145,2017,7. Matchday,2017-09-23,347,1095,0,1,20.0,12.0,Philippe Hinschberger,Jean-Louis Garcia,Stade Saint-Symphorien,15491.0,Karim Abed,4-2-3-1,4-3-3 Attacking,Football Club de Metz,ESTAC Troyes,0:1,domestic_league,-1
607,2901319,2017,8. Matchday,2017-09-30,995,347,1,0,4.0,20.0,Claudio Ranieri,Philippe Hinschberger,Stade de la Beaujoire,22104.0,Johan Hamel,4-2-3-1,4-2-3-1,Football Club de Nantes,Football Club de Metz,1:0,domestic_league,1
608,2901320,2017,8. Matchday,2017-10-01,417,244,2,4,10.0,3.0,Lucien Favre,Rudi Garcia,Allianz Riviera,32702.0,Benoît Bastien,4-4-2,4-2-3-1,Olympique Gymnaste Club Nice Côte d'Azur,Olympique de Marseille,2:4,domestic_league,-1
613,2903933,2017,9. Matchday,2017-10-14,618,347,3,1,3.0,20.0,Óscar García,Philippe Hinschberger,Stade Geoffroy-Guichard,24613.0,Olivier Thual,4-3-3 Attacking,4-3-3 Attacking,AS Saint-Étienne,Football Club de Metz,3:1,domestic_league,1
628,2330968,2013,16. Matchday,2013-12-04,273,618,3,1,11.0,6.0,Philippe Montanier,Christophe Galtier,Roazhon Park,17139.0,Olivier Thual,4-3-3 Defending,4-5-1 flat,Stade Rennais Football Club,AS Saint-Étienne,3:1,domestic_league,1
629,2330980,2013,19. Matchday,2013-12-21,1421,1147,4,1,7.0,20.0,Hubert Fournier,Christian Bracconi,Stade Auguste-Delaune,14522.0,Stéphane Lannoy,4-5-1 flat,4-2-3-1,Stade de Reims,AC Ajaccio,4:1,domestic_league,1
630,2331006,2013,22. Matchday,2014-01-25,855,583,1,1,14.0,1.0,Jocelyn Gourvennec,Laurent Blanc,Stade du Roudourou,17623.0,Said Ennjimi,4-4-2 double 6,4-3-3 Attacking,EA Guingamp,Paris Saint-Germain Football Club,1:1,domestic_league,0
631,2331082,2013,28. Matchday,2014-03-08,855,14171,0,1,14.0,17.0,Jocelyn Gourvennec,Pascal Dupraz,Stade du Roudourou,13543.0,Benoît Millot,4-4-2 double 6,4-4-2 double 6,EA Guingamp,Thonon Évian Grand Genève FC,0:1,domestic_league,-1
658,2353758,2013,1. Matchday,2013-08-10,1041,417,4,0,1.0,20.0,Rémi Garde,Claude Puel,Stade de Gerland,23552.0,Fredy Fautrel,4-2-3-1,4-2-3-1,Olympique Lyonnais,Olympique Gymnaste Club Nice Côte d'Azur,4:0,domestic_league,1
702,2482117,2014,2. Matchday,2014-08-16,826,855,0,1,18.0,13.0,Antoine Kombouaré,Jocelyn Gourvennec,Stade Crédit Agricole la Licorne,9512.0,Sébastien Moreira,4-3-3 Attacking,4-4-2 double 6,Racing Club de Lens,EA Guingamp,0:1,domestic_league,-1
703,2482118,2014,2. Matchday,2014-08-16,1158,417,0,0,6.0,4.0,Sylvain Ripoll,Claude Puel,Stade du Moustoir,13885.0,Said Ennjimi,4-4-2,4-3-3 Attacking,Football Club Lorient-Bretagne Sud,Olympique Gymnaste Club Nice Côte d'Azur,0:0,domestic_league,0
704,2482207,2014,11. Matchday,2014-10-25,14171,995,0,2,19.0,5.0,Pascal Dupraz,Michel Der Zakarian,Parc des Sports d’Annecy,10063.0,Stéphane Lannoy,4-2-3-1,4-2-3-1,Thonon Évian Grand Genève FC,Football Club de Nantes,0:2,domestic_league,-1
705,2482257,2014,16. Matchday,2014-12-03,1082,583,1,1,12.0,2.0,René Girard,Laurent Blanc,Decathlon Arena-Stade Pierre-Mauroy,45771.0,Lionel Jaffredo,4-3-1-2,4-3-3 Attacking,Lille Olympique Sporting Club Lille Métropole,Paris Saint-Germain Football Club,1:1,domestic_league,0
706,2482258,2014,16. Matchday,2014-12-02,1158,244,1,1,16.0,1.0,Sylvain Ripoll,Marcelo Bielsa,Stade du Moustoir,16011.0,Benoît Millot,4-4-2,3-3-3-1,Football Club Lorient-Bretagne Sud,Olympique de Marseille,1:1,domestic_league,0
707,2482276,2014,18. Matchday,2014-12-14,855,583,1,0,13.0,2.0,Jocelyn Gourvennec,Laurent Blanc,Stade du Roudourou,17636.0,Antony Gautier,4-3-3 Attacking,4-3-3 Attacking,EA Guingamp,Paris Saint-Germain Football Club,1:0,domestic_league,1
708,2482327,2014,23. Matchday,2015-02-01,40,855,1,1,7.0,11.0,Willy Sagnol,Jocelyn Gourvennec,Matmut Atlantique,16104.0,Sébastien Desiage,4-3-3 Attacking,4-4-2 double 6,FC Girondins Bordeaux,EA Guingamp,1:1,domestic_league,0
709,2482377,2014,28. Matchday,2015-03-08,855,1082,0,1,13.0,8.0,Jocelyn Gourvennec,René Girard,Stade du Roudourou,13639.0,Benoît Bastien,4-4-2 double 6,4-3-1-2,EA Guingamp,Lille Olympique Sporting Club Lille Métropole,0:1,domestic_league,-1
710,2482420,2014,32. Matchday,2015-04-28,583,347,3,1,1.0,20.0,Laurent Blanc,Albert Cartier,Parc des Princes,46337.0,Mikael Lesage,4-3-3 Attacking,4-2-3-1,Paris Saint-Germain Football Club,Football Club de Metz,3:1,domestic_league,1
711,2482427,2014,33. Matchday,2015-04-18,855,14171,1,1,12.0,17.0,Jocelyn Gourvennec,Pascal Dupraz,Stade du Roudourou,13788.0,Ruddy Buquet,4-4-2 double 6,4-2-3-1,EA Guingamp,Thonon Évian Grand Genève FC,1:1,domestic_league,0
712,2482464,2014,36. Matchday,2015-05-09,14171,1421,2,3,18.0,17.0,Pascal Dupraz,Olivier Guégan,Parc des Sports d’Annecy,13740.0,Lionel Jaffredo,4-2-3-1,4-3-3 Attacking,Thonon Évian Grand Genève FC,Stade de Reims,2:3,domestic_league,-1
746,2586768,2015,1. Matchday,2015-08-08,1095,3558,0,0,10.0,12.0,Jean-Marc Furlan,Thierry Laurey,Stade de l'Aube,10858.0,Jérôme Miguelgorry,4-2-3-1,4-4-2 double 6,ESTAC Troyes,GFC Ajaccio,0:0,domestic_league,0
747,2586807,2015,5. Matchday,2015-09-12,1158,1420,3,1,17.0,7.0,Sylvain Ripoll,Stéphane Moulin,Stade du Moustoir,9874.0,Jérôme Miguelgorry,4-4-2,4-1-4-1,Football Club Lorient-Bretagne Sud,Angers SCO,3:1,domestic_league,1
748,2586808,2015,5. Matchday,2015-09-13,995,273,0,2,10.0,2.0,Michel Der Zakarian,Philippe Montanier,Stade de la Beaujoire,27262.0,Stéphane Lannoy,4-3-1-2,5-4-1,Football Club de Nantes,Stade Rennais Football Club,0:2,domestic_league,-1
757,2600607,2015,16. Matchday,2015-12-02,1082,618,1,0,18.0,7.0,Frédéric Antonetti,Christophe Galtier,Decathlon Arena-Stade Pierre-Mauroy,29103.0,Frank Schneider,4-3-3 Attacking,4-2-3-1,Lille Olympique Sporting Club Lille Métropole,AS Saint-Étienne,1:0,domestic_league,1
765,2609692,2015,23. Matchday,2016-01-30,1095,995,0,1,20.0,9.0,Claude Robin,Michel Der Zakarian,Stade de l'Aube,11592.0,Johan Hamel,4-2-3-1,4-2-3-1,ESTAC Troyes,Football Club de Nantes,0:1,domestic_league,-1
766,2609743,2015,28. Matchday,2016-02-28,995,162,0,0,7.0,2.0,Michel Der Zakarian,Leonardo Jardim,Stade de la Beaujoire,25866.0,Mikael Lesage,4-2-3-1,4-2-3-1,Football Club de Nantes,Association sportive de Monaco Football Club,0:0,domestic_league,0
767,2609794,2015,33. Matchday,2016-04-08,969,1041,0,2,16.0,2.0,Frédéric Hantz,Bruno Génésio,Stade de la Mosson,15066.0,Antony Gautier,4-3-1-2,4-3-3 Attacking,Montpellier Hérault Sport Club,Olympique Lyonnais,0:2,domestic_league,-1
794,2702736,2016,11. Matchday,2016-10-30,244,40,0,0,10.0,9.0,Rudi Garcia,Jocelyn Gourvennec,Orange Vélodrome,57091.0,Nicolas Rainville,4-3-3 Attacking,4-3-3 Defending,Olympique de Marseille,FC Girondins Bordeaux,0:0,domestic_league,0
795,2702813,2016,18. Matchday,2016-12-18,417,2969,2,1,1.0,19.0,Lucien Favre,Olivier Dall'Oglio,Allianz Riviera,29229.0,Benoît Millot,4-3-3 Attacking,5-3-2,Olympique Gymnaste Club Nice Côte d'Azur,Dijon FCO,2:1,domestic_league,1
822,2735601,2016,33. Matchday,2017-04-15,969,1158,2,0,12.0,18.0,Jean-Louis Gasset,Bernard Casoni,Stade de la Mosson,9294.0,Olivier Thual,4-3-3 Defending,4-4-2 double 6,Montpellier Hérault Sport Club,Football Club Lorient-Bretagne Sud,2:0,domestic_league,1
914,2482476,2014,38. Matchday,2015-05-23,1162,14171,3,2,13.0,18.0,Patrice Garande,Pascal Dupraz,Stade Michel-d'Ornano,19937.0,Antony Gautier,4-1-4-1,4-4-2 double 6,SM Caen,Thonon Évian Grand Genève FC,3:2,domestic_league,1
925,2587004,2015,14. Matchday,2015-11-21,969,1421,3,1,14.0,15.0,Rolland Courbis,Olivier Guégan,Stade de la Mosson,9455.0,Stéphane Jochem,4-2-3-1,4-3-3 Attacking,Montpellier Hérault Sport Club,Stade de Reims,3:1,domestic_league,1
933,2698556,2016,1. Matchday,2016-08-12,162,855,2,2,9.0,10.0,Leonardo Jardim,Antoine Kombouaré,Stade Louis-II,8019.0,Jérôme Miguelgorry,4-4-2 double 6,4-4-2 double 6,Association sportive de Monaco Football Club,EA Guingamp,2:2,domestic_league,0
978,2223859,2012,8. Matchday,2012-10-06,1082,1147,2,0,10.0,14.0,Rudi Garcia,Alex Dupont,Decathlon Arena-Stade Pierre-Mauroy,39375.0,Lionel Jaffredo,,,Lille Olympique Sporting Club Lille Métropole,AC Ajaccio,2:0,domestic_league,1
979,2223876,2012,5. Matchday,2012-09-16,1159,244,0,1,17.0,1.0,Jean Fernandez,Élie Baup,Stade Marcel-Picot,18257.0,Philippe Kalt,,,AS Nancy-Lorraine,Olympique de Marseille,0:1,domestic_league,-1
980,2223890,2012,4. Matchday,2012-09-02,1082,583,1,2,11.0,8.0,Rudi Garcia,Carlo Ancelotti,Decathlon Arena-Stade Pierre-Mauroy,32707.0,Ruddy Buquet,,,Lille Olympique Sporting Club Lille Métropole,Paris Saint-Germain Football Club,1:2,domestic_league,-1
981,2223894,2012,18. Matchday,2012-12-16,583,1041,1,0,1.0,2.0,Carlo Ancelotti,Rémi Garde,Parc des Princes,44768.0,Antony Gautier,,,Paris Saint-Germain Football Club,Olympique Lyonnais,1:0,domestic_league,1
